Registro,V avg [V],Van [V],Vbn [V],Vcn [V],I avg [A],Ia [A],Ib [A] ,Ic [A],U avg [V],Uab [V],Ubc [V],Uca [V],PF,PFa,PFb,PFc,LC,LCa,LCb,LCc,P [W],Pa [W],Pb [W],Pc [W],Q [VAr],Qa [VAr],Qb [VAr],Qc [VAr],S [VA],Sa [VA],Sb [VA],Sc [VA],F [Hz],In [A],p @ F,Van min [V],Vbn min [V],Vcn min [V],Uab min [V],Ubc min [V],Uca min [V],Van avg [V],Vbn avg [V],Vcn avg [V],Uab avg [V],Ubc avg [V],Uca avg [V],Van max [V],Vbn max [V],Vcn max [V],Uab max [V],Ubc max [V],Uca max [V],Ia min [A],Ib min [A],Ic min [A],Ia avg [A],Ib avg [A],Ic avg [A],Ia max [A],Ib max [A],Ic max [A],PFa min,PFb min,PFc min,LCa min,LCb min,LCc min,PFa avg,PFb avg,PFc avg,LCa avg,LCb avg,LCc avg,PFa max,PFb max,PFc max,LCa max,LCb max,LCc max,p @ V min,ts @ V min,p @ V max,ts @ V max,pg @ U min,ts @ U min,pg @ U max,ts @ U max,q @ I min,ts @ I min,q @ I max,ts @ I max,p @ PF min,ts @ PF min,p @ PF max,ts @ PF max,F min [Hz],F max [Hz],F avg [Hz],ts @ F min,ts @ F max,Status,Va evt ,Vb evt ,Vc evt ,Ph [kWh],Ph sum [kWh],Ph fwd [kWh],Ph rev [kWh],Qh [kVArh],Qh sum [kVArh],Qh fwd [kVArh],Qh rev [kVArh],Qh rev {i} [kVArh],Qh rev {c} [kVArh],Qh fwd {i} [kVArh],Qh fwd {c} [kVArh],Sh [kVAh],Sd pred [VA],Sd [VA],Sd peak [VA],Pd pred [W],Pd [W],Pd peak [W],Qd pred [VAr],Qd [VAr],Qd peak [VAr],Qd pred {i} [VAr],Qd {i} [VAr],Qd peak {i} [VAr],Qd pred {c} [VAr],Qd {c} [VAr],Qd peak {c} [VAr]
05/04/2023 12:00,220.97,219.80,221.69,221.41,81.31,48.68,94.51,100.73,382.72,380.90,384.15,383.12,0.94,0.86,0.98,0.94,CAP,CAP,CAP,CAP,-50512.50,-9185.47,-20451.96,-20875.07,17894.54,5487.86,4551.74,7854.94,53588.50,10699.98,20952.35,22304.00,60.05,68.02,A,218.01,218.65,215.82,378.10,374.39,377.61,219.98,222.46,222.18,381.54,384.75,384.83,221.67,224.06,224.24,384.49,387.38,388.47,25.15,69.18,75.67,41.09,101.66,146.72,54.29,136.86,178.11,0.00,0.90,0.89,IND,CAP,CAP,-0.75,-0.98,-0.96,CAP,CAP,CAP,0.90,0.99,0.98,CAP,CAP,CAP,C,05/04/2023 11:56,C,05/04/2023 11:53,B,05/04/2023 11:56,C,05/04/2023 11:53,A,05/04/2023 11:58,C,05/04/2023 11:54,A,05/04/2023 11:58,A,31/12/1969 21:00,59.98,60.07,60.03,05/04/2023 11:54,05/04/2023 11:53,Válido,None,None,None,-10.07,10.07,0.00,-10.07,3.10,3.10,3.10,0.00,0.00,0.00,0.00,3.10,10.55,11.91,65132.52,65132.52,-11.23,-62380.19,-62380.19,3.98,18595.48,23909.99,0.00,0.00,23909.99,3.98,18595.48,19154.54
05/04/2023 12:10,215.84,214.33,216.82,216.38,47.42,55.60,39.25,47.40,373.83,370.95,377.10,373.45,0.58,0.88,0.89,0.79,IND,IND,CAP,IND,11100.86,10520.51,-7559.95,8140.30,15743.52,5598.77,3905.49,6239.27,19263.63,11917.53,8509.15,10256.36,60.00,85.27,A,213.82,216.28,216.25,370.08,376.07,373.23,216.29,218.54,218.49,374.76,378.93,377.87,219.84,221.83,221.51,381.05,384.58,383.53,23.58,16.85,25.18,48.12,58.42,87.92,81.47,127.02,188.72,0.00,0.00,0.00,CAP,CAP,IND,0.22,-0.88,-0.64,IND,CAP,CAP,0.94,0.99,0.97,IND,CAP,CAP,A,05/04/2023 12:08,B,05/04/2023 12:00,A,05/04/2023 12:08,B,05/04/2023 12:00,B,05/04/2023 12:09,C,05/04/2023 12:02,B,05/04/2023 12:05,A,31/12/1969 21:00,59.99,60.09,60.03,05/04/2023 12:05,05/04/2023 12:07,Válido,None,None,None,-3.57,5.61,1.02,-4.59,2.84,2.84,2.84,0.00,0.00,0.00,0.97,1.87,6.52,26101.33,65132.52,65132.52,-14301.19,-62380.19,-62380.19,11368.05,18595.48,23909.99,3893.76,0.00,23909.99,7474.29,18595.48,19154.54
05/04/2023 12:20,216.99,215.64,217.34,217.98,61.90,32.17,79.65,73.87,375.82,373.03,377.89,376.55,0.88,0.63,0.93,0.90,CAP,CAP,CAP,CAP,-35051.82,-4377.30,-16175.85,-14498.67,18548.96,5381.55,6163.23,7004.18,39657.21,6936.99,17310.21,16101.87,60.00,58.74,A,214.11,216.30,216.17,370.43,376.00,373.46,215.19,217.27,217.45,372.61,377.36,375.66,216.05,218.08,218.49,374.22,378.66,377.94,20.60,19.21,25.51,35.10,50.26,57.23,66.13,109.81,156.83,0.00,0.02,0.00,CAP,CAP,CAP,0.32,-0.90,-0.59,IND,CAP,CAP,0.93,0.99,0.97,CAP,CAP,CAP,A,05/04/2023 12:19,C,05/04/2023 12:13,A,05/04/2023 12:19,B,05/04/2023 12:16,B,05/04/2023 12:15,C,05/04/2023 12:14,C,05/04/2023 12:15,A,31/12/1969 21:00,59.98,60.04,60.01,05/04/2023 12:11,05/04/2023 12:19,Válido,None,None,None,-2.46,3.22,0.38,-2.84,2.61,2.61,2.61,0.00,0.00,0.00,0.77,1.83,4.44,8189.06,35671.16,65132.52,-4301.50,-19843.67,-62380.19,5221.60,16573.28,23909.99,1434.88,5556.21,23909.99,3786.72,11017.07,19154.54
05/04/2023 12:30,213.04,212.08,213.03,214.00,77.16,81.83,64.10,85.54,368.99,366.88,370.76,369.32,0.94,0.94,0.92,0.96,IND,IND,IND,IND,46380.53,16298.74,12568.44,17513.36,16629.66,5960.58,5339.97,5329.11,49271.69,17354.46,13655.80,18306.21,60.02,31.74,A,211.99,211.56,213.93,365.98,369.10,368.99,213.84,215.64,216.22,369.93,374.96,373.46,216.12,218.05,218.91,374.07,378.34,379.01,21.89,22.23,29.06,77.14,54.48,81.96,125.33,130.26,170.11,0.00,0.01,0.01,CAP,IND,CAP,0.72,-0.01,0.19,IND,CAP,IND,0.98,0.98,0.97,IND,CAP,CAP,B,05/04/2023 12:29,C,05/04/2023 12:21,A,05/04/2023 12:29,C,05/04/2023 12:21,A,05/04/2023 12:22,C,05/04/2023 12:21,A,05/04/2023 12:22,A,31/12/1969 21:00,59.97,60.07,60.02,05/04/2023 12:20,05/04/2023 12:29,Válido,None,None,None,2.52,6.93,4.73,-2.21,2.85,2.85,2.85,0.00,0.00,0.00,1.97,0.89,7.56,10.95,38427.25,65132.52,10.31,5758.10,-62380.19,3.70,16631.08,23909.99,3.70,9297.49,23909.99,0.00,7333.59,19154.54
05/04/2023 12:40,213.80,212.86,213.65,214.90,88.18,87.08,72.72,104.75,370.31,367.85,372.55,370.54,0.94,0.94,0.88,0.97,IND,IND,IND,IND,52770.57,17381.63,13629.87,21759.06,19663.20,6437.86,7454.83,5770.52,56314.96,18535.56,15535.37,22511.24,60.03,43.72,A,210.94,211.29,212.20,364.27,368.17,366.77,212.10,212.59,213.77,366.55,370.30,368.98,213.16,214.13,215.14,368.74,372.97,371.02,81.70,62.31,84.88,95.46,88.21,115.97,126.16,114.56,147.39,0.93,0.85,0.93,IND,IND,IND,0.95,0.93,0.97,IND,IND,IND,0.96,0.96,0.97,IND,IND,IND,A,05/04/2023 12:30,C,05/04/2023 12:39,A,05/04/2023 12:30,B,05/04/2023 12:39,B,05/04/2023 12:30,C,05/04/2023 12:31,B,05/04/2023 12:30,A,31/12/1969 21:00,59.99,60.07,60.03,05/04/2023 12:38,05/04/2023 12:35,Válido,None,None,None,10.11,10.11,10.11,0.00,3.24,3.24,3.24,0.00,0.00,0.00,3.24,0.00,10.62,42479.08,38427.25,65132.52,40444.52,5758.10,-62380.19,12959.92,16631.08,23909.99,12959.92,9297.49,23909.99,0.00,7333.59,19154.54
05/04/2023 12:50,215.11,213.94,215.34,216.06,57.35,70.56,39.18,62.30,372.57,370.28,374.58,372.87,0.89,0.90,0.82,0.91,IND,IND,IND,IND,32675.54,13566.30,6903.08,12206.16,17146.83,6620.97,4850.07,5675.78,36901.29,15095.76,8436.57,13461.24,59.99,39.07,A,211.69,212.87,213.12,365.86,370.86,368.13,213.07,214.25,214.97,368.64,372.99,370.82,214.08,215.45,216.18,370.55,374.77,373.06,65.26,38.67,61.64,80.57,60.90,95.06,124.38,92.30,138.90,0.89,0.77,0.90,IND,IND,IND,0.92,0.89,0.95,IND,IND,IND,0.95,0.95,0.97,IND,IND,IND,A,05/04/2023 12:44,C,05/04/2023 12:49,A,05/04/2023 12:44,B,05/04/2023 12:49,B,05/04/2023 12:49,C,05/04/2023 12:40,B,05/04/2023 12:42,A,31/12/1969 21:00,59.94,60.04,59.99,05/04/2023 12:46,05/04/2023 12:40,Válido,None,None,None,7.80,7.80,7.80,0.00,3.16,3.16,3.16,0.00,0.00,0.00,3.16,0.00,8.42,16394.30,59768.02,65132.52,15149.29,56499.33,-62380.19,6248.74,19356.88,23909.99,6248.74,19356.88,23909.99,0.00,0.00,19154.54
05/04/2023 13:00,216.96,215.67,217.61,217.61,32.48,26.12,36.06,35.25,375.78,373.65,377.77,375.94,0.47,0.49,0.88,0.51,CAP,IND,CAP,CAP,-8083.64,2750.51,-6897.71,-3936.45,15243.02,4916.99,3741.79,6584.24,17253.84,5634.02,7847.25,7671.23,60.00,56.55,A,213.66,215.18,215.04,369.72,374.49,371.76,215.34,216.93,216.97,373.00,376.91,374.59,216.33,218.10,217.85,374.82,378.86,376.34,24.69,16.23,31.05,42.98,25.63,50.80,80.11,48.05,101.06,0.45,0.00,0.00,IND,IND,CAP,0.78,0.11,0.68,IND,IND,IND,0.92,0.89,0.94,IND,CAP,IND,A,05/04/2023 12:50,B,05/04/2023 12:57,A,05/04/2023 12:50,B,05/04/2023 12:56,B,05/04/2023 12:56,C,05/04/2023 12:52,C,05/04/2023 12:58,A,31/12/1969 21:00,59.94,60.03,59.98,05/04/2023 12:53,05/04/2023 12:58,Válido,None,None,None,2.56,2.71,2.63,-0.07,2.74,2.74,2.74,0.00,0.00,0.00,2.50,0.24,4.05,7.68,32583.02,65132.52,-3.59,25396.12,-62380.19,6.78,17217.95,23909.99,0.00,16264.69,23909.99,6.78,953.26,19154.54
05/04/2023 13:10,216.14,215.18,216.47,216.78,29.92,27.08,29.35,33.33,374.36,372.37,375.81,374.90,0.26,0.55,0.75,0.38,CAP,IND,CAP,CAP,-4283.13,3212.41,-4784.83,-2710.71,15740.11,4862.30,4181.44,6696.38,16312.46,5827.65,6354.45,7224.22,59.94,50.61,A,214.80,216.24,216.51,371.81,375.29,374.50,216.00,217.44,217.70,374.03,377.12,376.63,217.20,218.52,218.69,376.49,378.87,379.20,17.44,15.97,29.16,32.20,47.74,68.34,75.81,112.55,165.45,0.00,0.00,0.00,IND,CAP,IND,-0.30,-0.88,-0.80,CAP,CAP,CAP,0.97,0.99,0.97,CAP,CAP,CAP,A,05/04/2023 13:09,C,05/04/2023 13:07,A,05/04/2023 13:09,C,05/04/2023 13:07,B,05/04/2023 13:03,C,05/04/2023 13:07,A,05/04/2023 13:09,A,31/12/1969 21:00,59.93,60.02,59.98,05/04/2023 13:09,05/04/2023 13:02,Válido,None,None,None,-3.85,3.86,0.00,-3.85,2.62,2.62,2.62,0.00,0.00,0.00,0.08,2.54,5.12,20503.84,32583.02,65132.52,-15397.77,25396.12,-62380.19,10470.69,17217.95,23909.99,307.57,16264.69,23909.99,10163.12,953.26,19154.54
05/04/2023 13:20,216.48,215.09,217.00,217.36,38.75,53.61,33.76,28.89,374.95,371.99,377.09,375.76,0.21,0.87,0.82,0.08,IND,IND,CAP,CAP,3438.43,9997.72,-6035.10,-524.19,16152.68,5744.32,4151.52,6256.84,16514.60,11530.47,7325.13,6278.76,60.02,76.09,A,213.06,215.17,215.23,368.50,373.55,372.17,214.44,216.18,216.37,370.91,375.58,374.08,215.39,217.11,217.42,372.50,377.29,375.86,23.68,14.01,27.08,59.96,24.57,40.58,84.20,42.35,64.33,0.50,0.00,0.00,IND,IND,CAP,0.89,-0.46,0.49,IND,CAP,IND,0.95,0.92,0.86,IND,CAP,IND,A,05/04/2023 13:19,C,05/04/2023 13:19,A,05/04/2023 13:19,B,05/04/2023 13:19,B,05/04/2023 13:16,A,05/04/2023 13:15,B,05/04/2023 13:14,A,31/12/1969 21:00,59.94,60.04,59.98,05/04/2023 13:10,05/04/2023 13:19,Válido,None,None,None,2.22,2.26,2.24,-0.02,2.76,2.76,2.76,0.00,0.00,0.00,2.62,0.14,3.73,7031.51,28407.80,65132.52,4046.10,-10556.18,-62380.19,5364.24,16133.56,23909.99,5223.26,5564.29,23909.99,140.98,10569.27,19154.54
05/04/2023 13:30,218.29,216.88,218.83,219.16,70.21,29.21,49.06,132.36,378.08,376.39,378.40,379.44,0.93,0.70,0.93,0.96,CAP,CAP,CAP,CAP,-42332.90,-4424.22,-10005.30,-27903.38,16355.44,4534.12,3893.14,7928.18,45382.54,6334.98,10736.04,29007.84,60.01,107.22,A,214.93,216.99,217.25,371.91,377.07,375.58,216.63,218.88,218.76,375.30,379.38,378.52,217.71,219.93,219.91,377.30,380.64,380.97,20.29,19.10,26.49,50.18,52.61,72.58,86.80,112.63,193.75,0.00,0.39,0.00,CAP,CAP,IND,0.45,-0.92,-0.72,IND,CAP,CAP,0.95,0.99,0.98,IND,CAP,CAP,A,05/04/2023 13:20,B,05/04/2023 13:28,A,05/04/2023 13:20,C,05/04/2023 13:28,B,05/04/2023 13:21,C,05/04/2023 13:28,C,05/04/2023 13:20,A,31/12/1969 21:00,59.95,60.09,60.01,05/04/2023 13:27,05/04/2023 13:20,Válido,None,None,None,-2.87,4.43,0.78,-3.65,2.75,2.75,2.75,0.00,0.00,0.00,1.26,1.48,5.51,20.16,29041.44,65132.52,-18.77,-7428.39,-62380.19,7.37,16343.43,23909.99,0.00,10280.16,23909.99,7.37,6063.27,19154.54
