Registro,V avg [V],Van [V],Vbn [V],Vcn [V],Iavg [A],Ia [A],Ib [A] ,Ic [A],Uavg [V],Uab [V],Ubc [V],Uca [V],PF,PFa,PFb,PFc,LC,LCa,LCb,LCc,P [W],Pa [W],Pb [W],Pc [W],Q [VAr],Qa [VAr],Qb [VAr],Qc [VAr],S [VA],Sa[VA],Sb [VA],Sc [VA],Freq [Hz],In [A],Ph(f),Van min [V],Vbn min [V],Vcn min [V],Uab min [V],Ubc min [V],Uca min [V],Van avg [V],Vbn avg [V],Vcn avg [V],Uab avg [V],Ubc avg [V],Uca avg [V],Van max [V],Vbn max [V],Vcn max [V],Uab max [V],Ubc max [V],Uca max [V],Ia min [A],Ib min [A],Ic min [A],Ia avg [A],Ib avg [A],Ic avg [A],Ia max [A],Ib max [A],Ic max [A],PFa min,PFb min,PFc min,LCa min,LCb min,LCc min,PFa avg,PFb avg,PFc avg,LCa avg,LCb avg,LCc avg,PFa max,PFb max,PFc max,LCa max,LCb max,LCc max,Vmin@pn,Vmin@t,Vmax@pn,Vmax@t,Umin@pg,Umin@t,Umax@pg,Umax@t,Imin@p,Imin@t,Imax@p,Imax@t,PFmin@p,PF min@t,PFmax@p,PF max@t ,Freq min [Hz],Freq max [Hz],Freq avg [Hz],Freq min@t,Freq max@t,Status,Ph [kWh],Ph sum [kWh],Ph fwd [kWh],Ph rev [kWh],Qh [kVArh],Qh sum [kVArh],Qh fwd [kVArh],Qh rev [kVArh],Qh rev {i} [kVArh],Qh rev {c} [kVArh],Qh fwd {i} [kVArh],Qh fwd {c} [kVArh],Sh [kVAh],Sd pred [VA],Sd [VA],Sd peak [VA],Pd pred [W],Pd [W],Pd peak [W],Qd pred [VAr],Qd [VAr],Qd peak [VAr],Qd pred {i} [VAr],Qd {i} [VAr],Qd peak {i} [VAr],Qd pred {c} [VAr],Qd {c} [VAr],Qd peak {c} [VAr]
05/04/2023 11:10,220.56,219.23,221.15,221.29,75.96,54.37,85.24,88.27,382.00,382.72,383.66,379.63,0.91,0.97,0.98,0.99,CAP,CAP,CAP,CAP,-10566.89,-11526.83,-18469.01,19428.95,4795.52,3031.47,3775.51,-2011.46,11604.14,11918.79,18850.96,19532.79,59.98,160.97,A,217.58,220.40,220.38,380.65,382.30,377.49,218.67,221.17,221.38,382.24,384.15,378.83,219.40,221.64,222.26,383.21,386.11,379.92,32.01,66.42,71.47,46.69,81.36,90.95,54.37,88.16,105.17,0.98,0.99,1.00,CAP,CAP,CAP,0.95,0.99,0.99,CAP,CAP,CAP,0.85,0.96,0.98,CAP,CAP,CAP,A,05/04/2023 11:01,C,05/04/2023 11:00,C,05/04/2023 11:01,B,05/04/2023 11:00,A,05/04/2023 11:01,C,05/04/2023 11:01,C,05/04/2023 11:05,A,05/04/2023 11:02,59.95,60.03,59.99,05/04/2023 11:07,05/04/2023 11:00,Válido,-20203.16,54716.81,17256.82,-37459.99,-11165.82,13705.65,1269.92,-12435.74,-9787.95,-2642.82,1130.35,136.58,57494.26,5685.82,9516.81,109400.80,-4941.32,-8922.98,-108097.50,2692.40,3121.85,-18429.15,1.18,0.00,-18429.15,2691.22,3121.85,-17430.88
05/04/2023 11:20,220.95,219.28,221.66,221.91,86.56,58.96,90.58,110.14,382.68,383.15,385.51,379.39,0.94,0.98,0.99,1.00,CAP,CAP,CAP,CAP,-8234.28,-12695.14,-19886.67,24347.52,3061.25,2443.32,2768.79,-2150.86,8784.91,12928.12,20078.49,24442.34,59.98,188.62,A,217.21,218.81,218.64,377.70,379.74,376.35,218.63,220.99,221.08,381.74,384.02,378.56,219.58,222.21,222.09,383.83,385.72,380.39,17.87,17.29,28.66,51.12,75.74,91.79,60.35,92.28,110.14,0.98,0.99,1.00,CAP,CAP,CAP,0.96,0.98,0.99,CAP,CAP,CAP,0.65,0.79,0.91,CAP,CAP,CAP,A,05/04/2023 11:16,B,05/04/2023 11:10,C,05/04/2023 11:16,B,05/04/2023 11:10,B,05/04/2023 11:16,C,05/04/2023 11:20,C,05/04/2023 11:14,A,05/04/2023 11:16,59.92,60.03,59.97,05/04/2023 11:13,05/04/2023 11:10,Válido,-20204.34,54717.99,17256.82,-37461.16,-11165.20,13706.27,1270.54,-12435.74,-9787.95,-2642.82,1130.35,137.20,57495.61,2657.09,8408.72,109400.80,-2362.68,-7277.89,-108097.50,1135.54,4027.74,-18429.15,0.00,3.78,-18429.15,1135.54,4023.96,-17430.88
05/04/2023 11:30,221.85,220.22,222.26,223.06,80.05,48.19,87.15,104.82,384.23,384.66,386.89,381.15,0.89,0.98,0.99,1.00,CAP,CAP,CAP,CAP,-6212.84,-10394.40,-19101.58,23283.13,3210.81,2136.76,3216.75,-2142.70,6993.47,10611.75,19370.54,23381.52,60.03,174.71,A,217.88,215.09,215.84,375.68,371.35,376.74,220.48,222.64,222.64,384.72,386.56,381.80,222.50,224.74,225.17,388.28,391.00,385.33,9.12,9.26,9.26,46.03,71.94,81.24,60.19,90.83,110.48,0.99,0.99,1.00,CAP,CAP,CAP,0.94,0.97,0.98,CAP,CAP,CAP,0.28,0.20,0.29,CAP,CAP,CAP,B,05/04/2023 11:28,C,05/04/2023 11:25,B,05/04/2023 11:28,B,05/04/2023 11:25,A,05/04/2023 11:28,C,05/04/2023 11:20,C,05/04/2023 11:20,C,05/04/2023 11:28,59.96,60.07,60.02,05/04/2023 11:20,05/04/2023 11:25,Válido,-20205.60,54719.26,17256.83,-37462.43,-11164.69,13706.79,1271.05,-12435.74,-9787.95,-2642.82,1130.36,137.70,57496.99,8199.02,8199.02,109400.80,-7391.21,-7391.21,-108097.50,3192.49,3192.49,-18429.15,49.29,49.29,-18429.15,3143.20,3143.20,-17430.88
05/04/2023 11:40,215.99,214.84,217.17,215.97,21.20,10.10,20.42,33.07,374.10,374.86,376.37,371.08,0.76,0.60,0.91,0.94,IND,CAP,CAP,CAP,1382.39,-1312.51,-4024.48,6719.39,1170.13,1728.53,1863.33,-2421.73,1811.13,2170.37,4434.92,7142.47,60.02,52.17,A,214.26,216.59,215.54,373.83,375.59,370.44,217.78,219.86,219.51,380.00,381.64,376.53,220.85,223.17,223.17,385.97,387.25,381.93,7.80,8.98,21.94,34.47,56.43,69.06,59.44,99.08,110.09,0.13,0.03,1.00,IND,IND,CAP,0.87,0.93,0.97,CAP,CAP,CAP,0.03,0.01,0.70,CAP,CAP,CAP,A,05/04/2023 11:38,C,05/04/2023 11:30,C,05/04/2023 11:38,B,05/04/2023 11:30,A,05/04/2023 11:37,C,05/04/2023 11:30,C,05/04/2023 11:31,C,05/04/2023 11:37,59.99,60.09,60.03,05/04/2023 11:30,05/04/2023 11:39,Válido,-20206.28,54720.22,17256.97,-37463.26,-11164.33,13707.14,1271.41,-12435.74,-9787.95,-2642.82,1130.43,137.98,57498.03,4178.87,8199.02,109400.80,-2756.63,-7391.21,-108097.50,1432.95,3192.49,-18429.15,299.29,49.29,-18429.15,1133.66,3143.20,-17430.88
05/04/2023 11:50,219.09,217.26,220.49,219.51,91.09,62.05,106.88,104.34,379.45,380.88,381.78,375.69,0.99,0.98,0.99,0.99,CAP,CAP,CAP,CAP,-13937.79,-13255.00,-23401.62,22718.83,2341.69,2459.43,2778.62,-2896.37,14133.14,13481.24,23566.00,22902.71,60.03,196.25,A,213.79,216.48,215.76,373.76,376.07,369.15,215.59,218.53,217.53,377.20,378.90,372.56,217.43,220.51,219.65,380.88,382.04,375.82,10.23,13.00,28.21,32.58,58.45,70.16,62.36,106.94,110.74,0.00,0.99,0.99,IND,CAP,CAP,0.92,0.97,0.98,CAP,CAP,CAP,0.00,0.32,0.87,CAP,CAP,CAP,A,05/04/2023 11:46,B,05/04/2023 11:48,C,05/04/2023 11:46,B,05/04/2023 11:49,A,05/04/2023 11:40,C,05/04/2023 11:49,A,05/04/2023 11:46,C,05/04/2023 11:42,59.98,60.04,60.01,05/04/2023 11:43,05/04/2023 11:49,Válido,-20206.93,54721.07,17257.07,-37464.00,-11163.99,13707.49,1271.75,-12435.74,-9787.95,-2642.82,1130.51,138.25,57498.99,2312.44,5677.66,109400.80,-1482.79,-3841.70,-108097.50,835.51,1964.00,-18429.15,158.16,429.97,-18429.15,677.35,1534.03,-17430.88
05/04/2023 12:00,214.11,213.38,215.09,213.86,16.06,12.50,13.61,22.06,370.84,371.08,373.15,368.29,0.94,0.25,0.67,0.78,IND,CAP,IND,CAP,4971.67,-655.16,1947.29,3679.54,1820.23,2586.06,2185.61,-2951.44,5294.41,2667.76,2927.25,4716.99,60.02,21.42,A,212.23,215.00,213.61,370.91,372.96,366.66,215.41,218.83,217.84,377.78,379.44,372.15,217.32,220.47,219.54,380.88,382.36,375.74,12.48,10.32,20.49,45.16,81.00,93.26,62.36,107.04,115.27,0.00,0.07,0.99,IND,IND,CAP,0.94,0.98,0.98,CAP,CAP,CAP,0.01,0.05,0.64,CAP,CAP,CAP,A,05/04/2023 11:59,B,05/04/2023 11:50,C,05/04/2023 11:59,B,05/04/2023 11:53,B,05/04/2023 11:59,C,05/04/2023 11:54,A,05/04/2023 11:58,C,05/04/2023 11:59,59.97,60.06,60.02,05/04/2023 11:51,05/04/2023 11:58,Válido,-20207.93,54722.24,17257.15,-37465.09,-11163.52,13707.95,1272.22,-12435.74,-9787.95,-2642.82,1130.56,138.66,57500.29,7495.48,7495.48,109400.80,-5505.96,-5505.96,-108097.50,2705.44,2705.44,-18429.15,394.51,394.51,-18429.15,2310.94,2310.94,-17430.88
05/04/2023 12:10,213.76,212.84,214.88,213.55,15.48,16.95,19.49,9.99,370.23,370.63,372.10,367.98,0.89,0.70,0.89,0.51,IND,IND,IND,IND,5155.01,2530.97,3706.81,-1082.76,2681.70,2570.48,1949.00,-1837.78,5810.82,3607.37,4187.96,2133.02,60.03,21.54,A,211.30,212.89,211.51,367.64,368.69,365.11,212.20,213.84,212.44,369.16,370.23,366.46,213.94,216.01,215.12,372.72,375.38,369.42,11.81,9.94,9.92,16.71,20.90,16.25,37.47,32.14,55.86,0.02,0.01,0.00,IND,IND,IND,0.84,0.91,0.80,IND,IND,IND,0.01,0.01,0.00,CAP,CAP,CAP,A,05/04/2023 12:05,B,05/04/2023 12:00,C,05/04/2023 12:05,B,05/04/2023 12:00,C,05/04/2023 12:09,C,05/04/2023 12:00,C,05/04/2023 12:01,C,05/04/2023 12:01,60.00,60.07,60.04,05/04/2023 12:00,05/04/2023 12:07,Válido,-20207.12,54723.06,17257.98,-37465.09,-11163.15,13708.33,1272.59,-12435.74,-9787.95,-2642.82,1130.93,138.67,57501.19,3642.08,7495.48,109400.80,3269.26,-5505.96,-108097.50,1485.03,2705.44,-18429.15,1466.05,394.51,-18429.15,18.98,2310.94,-17430.88
05/04/2023 12:20,214.58,213.55,215.81,214.37,14.64,12.29,11.14,20.49,371.65,372.29,373.67,369.00,0.77,0.01,0.48,0.73,IND,IND,CAP,CAP,2099.38,37.75,-1156.39,3218.02,1743.97,2624.45,2107.67,-2988.15,2729.26,2624.72,2404.06,4391.43,59.98,35.03,A,212.13,214.10,212.57,369.19,370.30,366.95,212.99,215.18,213.47,371.16,372.06,368.12,213.94,216.03,214.50,372.73,373.95,369.55,11.66,9.02,9.66,14.67,14.23,15.52,24.20,26.28,23.92,0.00,0.00,0.00,IND,IND,IND,0.68,1.00,0.93,IND,CAP,IND,0.00,0.00,0.00,CAP,CAP,CAP,A,05/04/2023 12:11,B,05/04/2023 12:19,C,05/04/2023 12:11,B,05/04/2023 12:19,B,05/04/2023 12:15,B,05/04/2023 12:11,C,05/04/2023 12:17,A,05/04/2023 12:10,59.94,60.04,59.99,05/04/2023 12:18,05/04/2023 12:11,Válido,-20206.79,54723.45,17258.33,-37465.12,-11162.77,13708.71,1272.97,-12435.74,-9787.95,-2642.82,1131.22,138.76,57501.77,874.73,5085.93,109400.80,279.71,4301.93,-108097.50,692.63,2320.80,-18429.15,407.39,2222.96,-18429.15,285.24,97.84,-17430.88
05/04/2023 12:30,217.60,216.56,218.46,217.77,45.60,35.66,45.10,56.03,376.88,377.26,378.90,374.49,0.91,0.95,0.97,0.98,CAP,CAP,CAP,CAP,-4946.79,-7338.96,-9510.12,11902.29,2292.01,2407.22,2570.95,-2686.17,5451.97,7723.67,9851.51,12201.64,60.00,98.34,A,213.12,215.73,214.31,372.13,373.58,368.22,215.32,217.24,216.24,374.96,376.71,372.06,217.29,219.53,219.07,378.73,381.73,375.58,12.04,8.44,17.31,22.29,23.08,38.09,49.14,60.64,83.80,0.00,0.00,0.99,IND,IND,CAP,0.92,0.76,0.87,CAP,CAP,CAP,0.00,0.00,0.49,CAP,CAP,CAP,A,05/04/2023 12:21,B,05/04/2023 12:27,C,05/04/2023 12:21,B,05/04/2023 12:27,B,05/04/2023 12:21,C,05/04/2023 12:28,A,05/04/2023 12:20,C,05/04/2023 12:23,59.94,60.03,59.98,05/04/2023 12:23,05/04/2023 12:26,Válido,-20206.75,54723.82,17258.53,-37465.29,-11162.47,13709.00,1273.27,-12435.74,-9787.95,-2642.82,1131.40,138.88,57502.27,2866.91,2866.91,109400.80,434.59,434.59,-108097.50,1880.06,1880.06,-18429.15,1108.73,1108.73,-18429.15,771.33,771.33,-17430.88
05/04/2023 12:40,216.40,215.93,217.02,216.26,26.90,23.40,23.66,33.65,374.81,375.22,376.20,373.02,0.78,0.94,0.85,0.93,CAP,CAP,CAP,CAP,-2310.27,-4734.93,-4374.29,6798.95,1857.90,1763.84,2688.85,-2594.79,2964.64,5052.79,5134.62,7277.27,59.96,52.80,A,215.37,216.41,216.21,373.94,376.07,372.17,216.03,217.17,216.90,375.19,377.38,373.40,216.94,218.66,218.05,377.65,379.32,375.33,14.01,12.79,31.32,23.71,21.60,40.40,42.68,46.06,55.95,0.97,0.01,0.98,CAP,IND,CAP,0.91,0.72,0.95,CAP,CAP,CAP,0.70,0.00,0.89,CAP,CAP,CAP,A,05/04/2023 12:34,B,05/04/2023 12:30,C,05/04/2023 12:36,B,05/04/2023 12:30,B,05/04/2023 12:37,C,05/04/2023 12:30,C,05/04/2023 12:30,C,05/04/2023 12:36,59.95,60.03,59.98,05/04/2023 12:39,05/04/2023 12:30,Válido,-20206.72,54724.20,17258.74,-37465.46,-11162.10,13709.38,1273.64,-12435.74,-9787.95,-2642.82,1131.56,139.09,57502.82,2193.07,2866.91,109400.80,123.97,434.59,-108097.50,1490.10,1880.06,-18429.15,636.72,1108.73,-18429.15,853.38,771.33,-17430.88
