cod_trafo,id_trafo,Snom,QTDE_GD,POT_INST_GD
5600148122,13678205,"75,00",0,0.0
5600177122,13648271,"45,00",0,0.0
5600178122,13670369,"75,00",0,0.0
5600187122,13669331,"45,00",0,0.0
5601136122,13668317,"112,50",0,0.0
5614126122,13680980,"112,50",0,0.0
5614141122,12314462,"112,50",1,50.0
5627809122,13662245,"300,00",0,0.0
5645457122,28525116,"225,00",0,0.0
5700018122,13647863,"150,00",11,133.76999999999998
5700019122,13674345,"75,00",0,0.0
5700020122,13667689,"150,00",10,95.7
5700021122,13722536,"150,00",19,110.0
5700022122,13662728,"112,50",10,71.1
5700047122,13680277,"112,50",13,66.92
5700048122,13646789,"112,50",18,103.5
5700051122,13646893,"112,50",8,99.0
5700067122,13714057,"150,00",19,149.67
5700112122,13699174,"45,00",0,0.0
5700120122,13675099,"45,00",1,2.0
5700122122,13719916,"45,00",0,0.0
5700146122,13703257,"25,00",0,0.0
5700149122,13662852,"150,00",12,79.96000000000001
5700154122,12312395,"150,00",28,212.7
5700155122,13669333,"150,00",15,82.03999999999999
5700171122,13695441,"150,00",23,135.88
5700172122,13699787,"150,00",16,94.55
5700173122,13658292,"75,00",8,50.0
5700180122,13649280,"75,00",11,62.5
5700181122,13652872,"150,00",18,100.16
5700182122,13722312,"150,00",18,130.98
5700186122,13689606,"75,00",0,0.0
5700188122,13646891,"112,50",1,25.0
5700189122,13684614,"75,00",1,3.6
5700466122,13701413,"45,00",0,0.0
5700525122,13675193,"45,00",0,0.0
5700895122,13666055,"45,00",10,50.04
5700896122,13705521,"45,00",5,34.75
5700898122,12312402,"75,00",8,37.5
5700899122,13689327,"112,50",1,5.5
5700901122,13699178,"45,00",9,50.1
5700904122,13692636,"45,00",0,0.0
5700927122,13714067,"75,00",12,79.8
5700929122,13661578,"45,00",6,32.15
5700930122,13653663,"45,00",3,17.5
5700931122,13676701,"45,00",5,34.95
5700932122,13667816,"45,00",6,28.119999999999997
5700933122,13688274,"75,00",8,45.05
5700935122,13720909,"75,00",8,29.3
5700937122,13711775,"112,50",3,99.13
5700959122,13651177,"225,00",0,0.0
5701009122,13659075,"75,00",2,12.42
5701097122,13655388,"75,00",0,0.0
5701764122,13694903,"45,00",0,0.0
5702140122,12312394,"75,00",0,0.0
5702384122,13694918,"45,00",0,0.0
5703238122,13664741,"75,00",0,0.0
5703239122,13686700,"75,00",0,0.0
5703368122,13650910,"112,50",4,63.6
5703442122,13654607,"75,00",2,30.0
5703490122,13722413,"112,50",0,0.0
5703491122,13675102,"112,50",2,9.5
5703556122,13680349,"45,00",0,0.0
5703821122,13690812,"150,00",0,0.0
5703992122,13651439,"112,50",12,73.68
5704387122,13659976,"112,50",1,0.0
5704388122,13656458,"150,00",0,0.0
5704519122,13722545,"112,50",0,0.0
5704551122,13650918,"150,00",8,42.28
5704615122,13650368,"75,00",19,99.18
5704715122,13648268,"75,00",1,14.0
5705247122,13680099,"75,00",2,14.2
5705372122,13652636,"150,00",0,0.0
5705427122,13720526,"75,00",5,31.15
5705443122,13667815,"30,00",0,0.0
5706274122,13692413,"112,50",0,0.0
5706275122,12314962,"112,50",0,0.0
5706279122,13677879,"112,50",0,0.0
5706280122,13716174,"112,50",0,0.0
5706474122,13870268,"150,00",1,4.0
5706480122,13678359,"150,00",1,6.0
5707288122,13643612,"150,00",0,0.0
5712719122,12312963,"75,00",0,0.0
5719640122,13693317,"75,00",3,21.0
5722263122,29461339,"75,00",1,5.0
5724156122,13712486,"112,50",3,48.81
5724157122,13667724,"150,00",8,46.36
5726655122,13671141,"112,50",0,0.0
5735485122,13659076,"150,00",9,41.63
5741519122,13676026,"75,00",0,0.0
5741704122,13716162,"300,00",0,0.0
5741749122,13706987,"150,00",0,0.0
5745472122,20259403,"150,00",0,0.0
5746117122,39646775,"112,50",0,0.0
5746118122,32029216,"112,50",1,20.0
5746891122,39457582,"112,50",3,32.2
5750306122,20748773,"112,50",2,15.0
5750341122,33480624,"112,50",3,43.8
5750503122,68150076,"112,50",0,0.0
